wing_index,group,landmark,error_px
47,<18,14,11.96748161315918
47,<18,15,2.7019810676574707
47,<18,16,0.4551403224468231
47,<18,17,3.2536401748657227
47,<18,18,0.48693639039993286
47,<18,19,3.5443272590637207
50,<18,1,2.915562629699707
50,<18,2,2.5477962493896484
50,<18,3,1.719474196434021
50,<18,4,1.0911670923233032
50,<18,5,1.5445525646209717
50,<18,6,0.7221595644950867
50,<18,7,1.0896774530410767
50,<18,8,0.6462376713752747
50,<18,9,2.520193338394165
50,<18,10,1.4320708513259888
50,<18,11,1.4364105463027954
50,<18,12,1.841793417930603
50,<18,13,1.2112040519714355
50,<18,14,1.4493703842163086
50,<18,15,3.1390221118927
50,<18,16,0.6381330490112305
50,<18,17,2.5138556957244873
50,<18,18,2.0850298404693604
50,<18,19,6.274058818817139
51,<18,1,1.5030916929244995
51,<18,2,99.86856079101562
51,<18,3,78.10076904296875
51,<18,4,111.63976287841797
51,<18,5,137.1986083984375
51,<18,6,40.72696304321289
51,<18,7,108.61949920654297
51,<18,8,51.597564697265625
51,<18,9,57.33452606201172
51,<18,10,2.1453847885131836
51,<18,11,45.9399299621582
51,<18,12,76.04936218261719
51,<18,13,78.19493103027344
51,<18,14,55.29390335083008
51,<18,15,78.19343566894531
51,<18,16,1.7995685338974
51,<18,17,0.6030145883560181
51,<18,18,2.182612895965576
51,<18,19,1.1126856803894043
54,<18,1,1.234342098236084
54,<18,2,1.826904535293579
54,<18,3,164.04209899902344
54,<18,4,81.9146499633789
54,<18,5,1.7933963537216187
54,<18,6,1.315385341644287
54,<18,7,124.3629150390625
54,<18,8,39.0182991027832
54,<18,9,2.1927807331085205
54,<18,10,2.866712808609009
54,<18,11,2.6371960639953613
54,<18,12,1.7045948505401611
54,<18,13,86.14743041992188
54,<18,14,47.12836837768555
54,<18,15,75.7483139038086
54,<18,16,52.50081253051758
54,<18,17,3.3478798866271973
54,<18,18,78.75733184814453
54,<18,19,0.4709222912788391
55,<18,1,123.94345092773438
55,<18,2,149.97547912597656
55,<18,3,192.64202880859375
55,<18,4,140.20083618164062
55,<18,5,73.37816619873047
55,<18,6,116.98411560058594
55,<18,7,193.57281494140625
55,<18,8,126.65196990966797
55,<18,9,103.8043212890625
55,<18,10,54.2278938293457
55,<18,11,23.664596557617188
55,<18,12,36.63248825073242
55,<18,13,34.06478500366211
55,<18,14,114.95555114746094
55,<18,15,66.0789794921875
55,<18,16,52.12773132324219
55,<18,17,30.43221092224121
55,<18,18,114.0487289428711
55,<18,19,182.4012451171875
57,<18,1,143.227783203125
57,<18,2,86.8434829711914
57,<18,3,126.01607513427734
57,<18,4,52.084651947021484
57,<18,5,95.68330383300781
57,<18,6,92.96446228027344
57,<18,7,120.3218002319336
57,<18,8,42.99319839477539
57,<18,9,1.9182122945785522
57,<18,10,56.54673385620117
57,<18,11,60.425384521484375
57,<18,12,153.80715942382812
57,<18,13,176.46995544433594
57,<18,14,29.56203842163086
57,<18,15,96.14064025878906
57,<18,16,90.46986389160156
57,<18,17,1.863420844078064
57,<18,18,2.076219320297241
57,<18,19,297.2871398925781
58,<18,1,2.432603597640991
58,<18,2,25.919036865234375
58,<18,3,63.7852668762207
58,<18,4,114.11356353759766
58,<18,5,1.9054369926452637
58,<18,6,2.5116117000579834
58,<18,7,42.713661193847656
58,<18,8,2.0343751907348633
58,<18,9,0.700278103351593
58,<18,10,47.56859588623047
58,<18,11,2.482848882675171
58,<18,12,1.5780497789382935
